19549297011, 247297291
18500923034, 236793411
19294365437, 447250897
20141917514, 317767433
19707787749, 236545451
19316820709, 314500583
19689385272, 328483398
18579280661, 290374170
19082993666, 353966134
19263798742, 316977891
19025617662, 236494307

20044447635, 74020011
19502804855, 55167825
20149927087, 55060894
17845878046, 54389870
20392278330, 92232950
20011586101, 54093062
19592236706, 54398669
19924761675, 54173957
19149803711, 55133810

20640745878	1452773132
24635123881	185493675
21764728890	178667798
21433448741	177998797
21250947401	174586243
21063314633	172099279
20920233681	172883735
20966108350	174484770
20945683043	181346142
20843137302	174149988
