493,1292,18805247485
1030,2173,35396058734
696,1680,26306261863
500,1310,20137303687
505,1282,19241136304
486,1285,19316249369
628,1534,23324483026
515,1313,19500580913
503,1268,19098859929
504,1275,19677801369
616,1525,23397467541
1211,2599,40908792004
839,1981,29656276050
612,1558,22623378843
605,1548,23622201957
589,1541,22131524114
765,1834,27872595966
596,1569,22502432404
613,1528,22472458134
614,1558,24024242296
688,1801,26554162531
1463,3026,49023718077
1002,2334,35561501446
699,1799,26353576007
712,1813,26498810352
698,1804,26130042883
877,2143,32985156814
694,1801,27031476288
699,1813,26441375894
679,1808,26561914729
819,2055,30368694984
1634,3475,55691276407
1120,2631,40742922497
797,2020,30053567471
801,2068,30764350194
775,2082,31212369093
985,2482,38733619383
810,2062,30914356515
787,2054,30621723992
805,2080,30768645793
881,2317,34149212964
1853,3900,62831141665
1279,2972,45911889379
892,2309,34140761445
875,2347,35150433159
911,2340,33898190209
1139,2729,42019230054
844,2316,34055212797
880,2323,35558244559
886,2318,33652544976
1040,2539,38139763635
2052,4312,69332816290
1392,3332,50444380845
992,2555,37718630289
1000,2678,39184954361
954,2637,38031847700
1272,3131,47626570524
980,2547,37553775061
975,2546,38030161748
1004,2539,37397415315
1091,2754,41218933185
2239,4736,74936226246
1520,3598,56318682933
1090,2811,41730169831
1074,2845,41182814104
1058,2836,41187757229
1363,3347,50001549978
1102,2825,41976279874
1103,2839,42207442076
1081,2791,40432308572
1197,3084,45856638661
2403,5180,80970234969
1680,3960,60546536295
1188,3094,46081411080
1188,3052,45490010749
1165,3080,44791413315
1501,3658,56089101667
1183,3112,46156377835
1208,3096,46275376964
1160,3056,46089568398
1244,3330,48148645760
2692,5709,91074980829
1809,4300,65462530189
1280,3335,49306006592
1284,3344,49571461885
1311,3342,51317545798
1615,3934,59878881851
1300,3279,49514051957
1282,3294,49264672574
1287,3300,50226047013
1399,3539,53087526586
2819,6038,98912753911
1975,4639,72272780659
1371,3558,53969811746
1364,3642,52999545348
1373,3594,52861351762
1713,4241,64430061951
1373,3636,51960946350
1404,3515,53334573133
1357,3528,51729629791
1466,3862,57062691824
3063,6469,103556261973
2125,4947,75586748370
1487,3796,56274579877
1543,3893,59447841969
1505,3892,57377113788
1881,4604,69289431573
1445,3864,56793005588
1489,3830,55891838125
1500,3899,57950758610
