CPU kernel-space (ms), CPU user-space (ms), Real Time (ms)
0,1141,11419
0,1140,11399
0,1142,11421
0,1181,11826
0,1164,11647
0,1164,11657
0,1153,11530
0,1140,11402
0,1139,11397
0,1147,11475
