CPU kernel-space (ms), CPU user-space (ms), Real Time (ms)
0,1139,11395
0,1137,11379
0,1136,11367
0,1136,11367
0,1138,11385
0,1136,11367
0,1137,11369
0,1136,11368
0,1136,11368
0,1143,11438
