CPU kernel-space (ms), CPU user-space (ms), Real Time (ns)
301,3505,38115477295
300,3522,38266960172
304,3521,38294805036
308,3506,38184423194
306,3549,38603601783
312,3602,39188089504
311,3559,38750987382
298,3525,38279039528
322,3498,38242333022
301,3521,38267285761
