CPU kernel-space (ms), CPU user-space (ms), Real Time (ns)
3,290,3325
3,288,3280
3,288,3309
3,288,3581
4,289,3378
4,287,3302
3,290,3527
4,287,3414
3,288,3042
4,291,3593
