CPU kernel-space (ms), CPU user-space (ms), Real Time (ns)
10340,8613,315407
10349,8459,309190
10282,8526,307352
10603,8623,318489
10387,8440,310229
10393,8567,310225
10373,8671,312965
10501,8532,311726
10449,8481,317931
10481,8468,312615
